Designator,Mid X,Mid Y,Layer,Rotation
C1,139.4206,-87.6401,top,90
C2,146.1135,-87.5945,top,90
R1,140.8176,-87.0966,top,90
R2,144.1196,-87.0966,top,90
R3,142.4686,-87.0966,top,90
R4,124.2695,-96.8375,top,90
R5,121.7295,-96.8375,top,90
R6,167.0685,-112.4585,top,0
SW1,136.3726,-83.4136,top,0
SW2,123,-89.662,top,0
SW3,167.513,-105.664,top,0
U1,142.5321,-82.7151,top,90
U3,149.7076,-90.424,top,0
